# HJD                MAG        BAND
  1.635243345975011  12.504832  r   
  1.6661164613906294 12.504575  r   
  1.6874657407003855 12.5056095 r   
  1.7115465083957784 12.505265  r   
  1.7416722675469438 12.504009  r   
  1.7633125528892768 12.50942   r   
  1.7879025800253399 12.510072  r   
  1.8150190701458737 12.51166   r   
  1.8367519484017976 12.51176   r   
  1.8583922305094478 12.511719  r   
  1.8809452131224265 12.510987  r   
  1.902691318761624  12.511549  r   
  1.924265464119214  12.511846  r   
  1.9450062709677565 12.514364  r   
  1.966038087698897  12.516354  r   
  1.9877577378564248 12.515717  r   
  2.008710186213388  12.517249  r   
  2.031256556660602  12.518463  r   
  2.05617066225802   12.514648  r   
  2.0774670271785    12.513992  r   
  2.765762955831763  12.491214  r   
  2.790405894471665  12.486132  r   
  2.8168610082190884 12.482651  r   
  2.8386071151222234 12.47809   r   
  2.860062212583476  12.472489  r   
  2.8813056680457003 12.469489  r   
  2.90254912734963   12.469909  r   
  2.924268777290958  12.476885  r   
  2.9453535015179244 12.482317  r   
  2.966332408832386  12.48712   r   
  2.9880917430689027 12.477176  r   
  3.00908387540507   12.457386  r   
  3.031332626656097  12.451361  r   
  3.0568750426505824 12.460779  r   
  3.077972995499814  12.451871  r   
  3.1005325937627015 12.454628  r   
  3.129123961586239  12.471009  r   
  3.150195459020324  12.477783  r   
  3.1748582391384326 12.48685   r   
  3.203674475437895  12.492425  r   
  3.880568288773897  12.455736  r   
  3.901679473064308  12.463033  r   
  3.923452034709044  12.459043  r   
  3.9442722088590796 12.454807  r   
  3.9656214881355742 12.4583435 r   
  3.98802897403948   12.461568  r   
  4.009087245412437  12.4586525 r   
  4.0307804400716645 12.459758  r   
  4.056812277313189  12.461853  r   
  4.077976369490249  12.46064   r   
  4.099788611671621  12.459562  r   
  4.129828399496286  12.456556  r   
  4.15093958145839   12.44661   r   
  4.174550772112395  12.449167  r   
  4.204378918619893  12.458376  r   
  4.225509941228665  12.45628   r   
  4.2515814580755045 12.449338  r   
  4.279313035359207  12.449056  r   
  4.30019934729041   12.45249   r   
  4.323532759685934  12.452367  r   
  4.9889980166751355 12.443756  r   
  5.010201792690038  12.447704  r   
  5.0321727673955525 12.448283  r   
  5.05868079854242   12.447638  r   
  5.079831664799713  12.450845  r   
  5.101617453411953  12.4503    r   
  5.131683698389679  12.44889   r   
  5.152794881773714  12.448556  r   
  5.176485439346704  12.450142  r   
  5.2066178214071055 12.455117  r   
  5.227609955855379  12.457577  r   
  5.253932797832282  12.458006  r   
  5.28155194242884   12.456809  r   
  5.302425028157553  12.456875  r   
  5.326036220915349  12.458608  r   
  5.350732075457927  12.462059  r   
  5.371684527124411  12.4606    r   
  5.392670049348713  12.451128  r   
  5.414475683189396  12.454816  r   
  5.436149038565678  12.455172  r   
  6.112791644043422  12.459097  r   
  6.140073489697118  12.461598  r   
  6.160946578319583  12.461779  r   
  6.188631863241816  12.461849  r   
  6.215377991869381  12.462881  r   
  6.236132032005116  12.46048   r   
  6.2657022445013615 12.455781  r   
  6.289835928689821  12.455141  r   
  6.310576741109669  12.45343   r   
  6.334512013201935  12.449923  r   
  6.357574266107155  12.404852  r   
  6.37835476172456   12.42883   r   
  6.399161715376457  12.433615  r   
  6.42117899267136   12.43949   r   
  6.442429068074229  12.442902  r   
  6.4632426344490215 12.445328  r   
  6.485008588659444  12.450861  r   
  6.5072970290951035 12.45144   r   
  6.531688650188569  12.448465  r   
  6.5533024875912815 12.447811  r   
  7.238761345905784  12.471672  r   
  7.269297173246741  12.475949  r   
  7.2928025500898785 12.477196  r   
  7.313543364289217  12.477643  r   
  7.337352976826618  12.479616  r   
  7.360196976847614  12.480517  r   
  7.380951019236818  12.482899  r   
  7.401982843493378  12.48527   r   
  7.424006736413243  12.483343  r   
  7.445025331224315  12.481133  r   
  7.466057154308406  12.4814625 r   
  7.487631310708821  12.4854765 r   
  7.510052028469675  12.4882    r   
  7.53428492101375   12.489813  r   
  7.555541616232533  12.490723  r   
  7.578769216480266  12.491819  r   
  7.606507413496729  12.494265  r   
  7.627790564296967  12.496002  r   
  7.652545948180237  12.495738  r   
  7.6816928813683    12.49676   r
